unq_ID,site_type,total_N,total_C,total_S,Al,B,Ca,Cu,Fe,K,Mg,Mn,Mo,Na,P,S,Zn
04_T1_8M_GASH,Habitation,1.4,49,0.21,< DL,20,0.43,5.4,36,1.4,0.21,120,< DL,1500,0.21,0.25,32
04_T1_8M_VAPA,Habitation,1.8,48,0.22,150,40,1.1,6.1,63,1.4,0.38,310,< DL,740,0.18,0.24,25
04_T1_17M_GASH,Habitation,0.8,49,0.16,< DL,15,0.5,3.1,27,1,0.24,120,< DL,970,0.12,0.2,19
04_T1_17M_MEFE,Habitation,1.1,44,0.12,< DL,25,0.66,5,68,1.3,0.5,3800,< DL,2700,0.14,0.14,64
04_T2_10M_MEFE,Habitation,1.2,44,0.12,< DL,27,0.77,4.2,34,1.2,0.53,6900,< DL,5000,0.18,0.14,84
04_T2_10M_VAPA,Habitation,1.7,48,0.23,< DL,31,0.98,5.8,34,0.92,0.35,600,< DL,780,0.13,0.25,20
04_T2_25M_GASH,Habitation,1.3,48,0.26,< DL,20,0.63,4.2,31,1.4,0.33,230,< DL,1200,0.21,0.31,26
04_T2_25M_MEFE,Habitation,1.3,42,0.11,35,31,0.94,6.1,39,1.7,0.62,14000,< DL,5700,0.23,0.13,150
04_T2_25M_VAPA,Habitation,1.6,48,0.19,33,27,1.1,3.9,35,1.1,0.37,1700,< DL,550,0.13,0.22,15
04_T3_14M_GASH,Habitation,0.98,48,0.17,< DL,13,0.55,3.8,16,0.96,0.27,940,< DL,570,0.15,0.2,31
04_T3_14M_MEFE,Habitation,1.3,41,0.11,< DL,33,0.91,4.7,39,1.7,0.9,11000,< DL,3500,0.16,0.13,100
04_T3_14M_VAPA,Habitation,1.6,47,0.2,63,34,0.94,5.8,41,1.5,0.26,1900,< DL,1500,0.13,0.21,11
04C_T1_12M_GASH,Control,0.94,49,0.18,< DL,11,0.45,4.1,22,1.2,0.2,520,< DL,420,0.13,0.21,25
04C_T1_12M_MEFE,Control,1.2,43,0.12,72,22,0.8,5.7,35,1.6,0.66,12000,< DL,1900,0.11,0.14,82
04C_T1_12M_VAPA,Control,1.3,48,0.19,64,16,1,3.7,38,0.67,0.26,620,< DL,140,0.096,0.21,29
04C_T1_22M_GASH,Control,1.1,49,0.2,< DL,11,0.5,4.8,23,1.2,0.2,760,< DL,610,0.15,0.23,17
04C_T1_22M_MEFE,Control,1.1,43,0.11,50,21,0.67,7.2,41,1.5,0.46,13000,< DL,1900,0.11,0.13,91
04C_T2_11M_VAPA,Control,1.1,47,0.17,74,16,0.7,6,33,0.9,0.12,770,< DL,190,0.091,0.18,18
04C_T2_19M_GASH,Control,0.91,50,0.19,31,14,0.41,3.5,19,1.1,0.21,350,< DL,430,0.11,0.2,20
04C_T3_6M_GASH,Control,1,49,0.21,< DL,16,0.54,3.1,23,1.1,0.24,360,< DL,840,0.14,0.23,19
04C_T3_6M_MEFE,Control,1.4,44,0.11,< DL,20,0.97,4.1,40,0.85,1,1200,< DL,4500,0.16,0.13,64
04C_T3_6M_VAPA,Control,1.5,48,0.2,74,23,0.87,5.4,41,1.3,0.27,580,< DL,210,0.12,0.21,15
04C_T3_23M_MEFE,Control,1.4,42,0.11,39,22,1.4,5.2,50,2.2,1,6800,< DL,2800,0.17,0.13,93
04C_T3_23M_VAPA,Control,1.1,48,0.097,49,18,0.9,3.1,23,0.22,0.39,430,< DL,190,0.094,0.11,9.7
13_T1_5M_GASH,Habitation,0.88,49,0.17,< DL,14,0.62,3.7,18,0.82,0.17,110,< DL,1000,0.14,0.21,15
13_T1_5M_VAPA,Habitation,1.7,48,0.2,55,17,1.1,6.2,36,0.44,0.37,490,< DL,73,0.13,0.21,9.5
13_T1_22M_MEFE,Habitation,1.1,43,0.13,130,19,0.84,7.6,32,0.52,0.58,11000,< DL,6200,0.16,0.14,63
13_T1_22M_VAPA,Habitation,1.3,47,0.18,82,26,1.3,4.9,38,0.76,0.43,630,< DL,1200,0.11,0.2,12
13_T2_5M_GASH,Habitation,1.1,50,0.19,< DL,13,0.45,3.9,21,1,0.2,400,< DL,870,0.18,0.23,18
13_T2_5M_MEFE,Habitation,1.3,44,0.12,34,23,0.91,5.4,37,0.93,0.96,3600,< DL,4000,0.17,0.14,61
13_T2_15M_MEFE,Habitation,1.3,45,0.15,38,17,0.64,4.4,33,0.89,0.7,5700,< DL,3300,0.14,0.17,79
13_T2_15M_VAPA,Habitation,2,47,0.27,160,45,1.3,10,56,1.4,0.41,960,< DL,710,0.17,0.28,15
13_T3_6M_GASH,Habitation,0.96,49,0.19,< DL,14,0.55,4.3,20,0.92,0.27,300,< DL,1300,0.16,0.22,20
13_T3_6M_MEFE,Habitation,1.2,46,0.15,< DL,21,0.84,4.2,39,0.78,0.77,3600,< DL,3900,0.18,0.16,73
13_T3_6M_VAPA,Habitation,1.4,48,0.22,< DL,28,1.1,5.2,35,0.67,0.33,510,< DL,380,0.13,0.24,11
13_T3_16M_GASH,Habitation,0.75,49,0.2,< DL,16,0.73,3.1,16,0.73,0.29,780,< DL,760,0.12,0.23,18
13C_T1_10M_GASH,Control,1.1,50,0.17,< DL,12,0.36,3.3,20,1.2,0.17,95,< DL,640,0.17,0.21,17
13C_T1_10M_VAPA,Control,1.3,49,0.23,88,18,0.82,5.1,27,1.4,0.21,460,< DL,150,0.13,0.27,12
13C_T1_21M_GASH,Control,1.1,50,0.16,< DL,14,0.44,3.4,17,1.2,0.19,150,< DL,660,0.15,0.19,15
13C_T1_21M_MEFE,Control,1.3,45,0.14,< DL,16,0.86,4.7,33,1.9,0.53,2700,< DL,1600,0.13,0.16,62
13C_T1_21M_VAPA,Control,1.6,49,0.22,99,19,0.69,7.2,37,1.3,0.34,330,< DL,110,0.12,0.25,12
13C_T2_7M_MEFE,Control,1.1,42,0.12,< DL,21,0.99,4.9,30,1.6,0.84,6600,< DL,3400,0.1,0.14,100
